Time,Extra.Student.Payments,Extra.Student.returns,Extra.Student.net,Retirement.401k.payments,Retirement.401k.returns,Retirement.401k.net,Home.pay.off.payment,Home.pay.off.return,Home.pay.off.net,Home.purchase.payment,Home.purchase.return,invest.stocks.payment,invest.stocks.returns,invest.stocks.net,save.money.bank,save.money.ret,financial.constraints
1,-12000,0,-12000,-10875,11963,1088,-12000,840,-11160,-12000,0,-12000,1200,-10800,-12000,120,34275
2,-12000,840,-11160,-10875,12071,1196,-12000,1680,-10320,-12000,0,-12000,2400,-10680,-12000,120,35303
3,-12000,1499,-10501,-10875,13387,2512,-12000,2520,-9480,-12000,0,-12000,3600,-10668,-12000,120,36362
4,-12000,1545,-10455,-10875,14835,3960,-12000,3360,-8640,-12000,0,-12000,4800,-10667,-12000,120,37453
5,-12000,1548,-10452,-10875,16427,5552,-12000,4200,-7800,-12000,0,-12000,6000,-10667,-12000,120,38577
6,-12000,1548,-10452,-10875,18178,7303,-12000,5040,-6960,-12000,0,-12000,7200,-10667,-12000,120,39734
7,-12000,1548,-10452,-10875,20105,9230,-12000,5880,-6120,0,0,-12000,8400,-10667,-12000,120,40926
8,0,4800,4800,-10875,22224,11349,-12000,6720,-5280,0,0,-12000,9600,-10667,-12000,120,42154
9,0,4800,4800,-10875,24555,13680,-12000,7560,-4440,0,0,-12000,10800,-10667,-12000,120,43419
10,0,4800,4800,-10875,27119,16244,-12000,8400,-3600,0,0,-12000,12000,-10667,-12000,120,44721
11,0,4800,4800,-10875,29940,19065,-12000,9240,-2760,0,0,-12000,13200,-10667,-12000,120,46063
12,0,4800,4800,-10875,33043,22168,-12000,10080,-1920,0,0,-12000,14400,-10667,-12000,120,47445
13,0,4800,4800,-10875,36456,25581,-12000,10920,-1080,0,0,-12000,15600,-10667,-12000,120,48868
14,0,4800,4800,-10875,40210,29335,-12000,11760,-240,0,0,-12000,16800,-10667,-12000,120,50334
15,0,4800,4800,-10875,44340,33465,-12000,12600,600,0,0,-12000,18000,-10667,-12000,120,51844
16,0,0,0,-10875,48883,38008,-12000,13440,1440,0,0,-12000,19200,-10667,-12000,120,53399
17,0,0,0,-10875,53880,43005,-12000,14280,2280,0,0,-12000,20400,-10667,-12000,120,55001
18,0,0,0,-10875,59377,48502,-12000,15120,3120,0,0,-12000,21600,-10667,-12000,120,56651
19,0,0,0,-10875,65423,54548,-12000,15960,3960,0,0,-12000,22800,-10667,-12000,120,58351
20,0,0,0,-10875,72074,61199,0,32400,32400,0,0,0,228000,228000,0,228000,60101
21,0,0,0,-10875,79390,68515,0,32400,32400,0,0,0,0,0,0,0,61904
22,0,0,0,-10875,87438,76563,0,32400,32400,0,0,0,0,0,0,0,63762
23,0,0,0,-10875,96291,85416,0,32400,32400,0,0,0,0,0,0,0,65674
24,0,0,0,-10875,106028,95153,0,32400,32400,0,0,0,0,0,0,0,67645
25,0,0,0,-10875,116740,105865,0,32400,32400,0,0,0,0,0,0,0,69674
26,0,0,0,-10875,128523,117648,0,32400,32400,0,0,0,0,0,0,0,71764
27,0,0,0,-10875,141484,130609,0,32400,32400,0,0,0,0,0,0,0,73917
28,0,0,0,-10875,155741,144866,0,32400,32400,0,0,0,0,0,0,0,76135
29,0,0,0,-10875,171424,160549,0,32400,32400,0,0,0,0,0,0,0,78419
30,0,0,0,-10875,188675,177800,0,32400,32400,0,0,0,0,0,0,0,0
31,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
32,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
33,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
34,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
35,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
36,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
37,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
38,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
39,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
40,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
41,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
42,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
43,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
44,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
45,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
46,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
47,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
48,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
49,0,0,0,0,0,124460,0,32400,32400,0,0,0,0,0,0,0,0
50,0,0,0,0,0,124460,0,32400,1092268.112,0,1334994.359,0,0,0,0,0,0
